_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,MI_PRINX,OBJECTID,ID,CLIENT_STREET_1,CLIENT_STREET_2,RLC,TCS,NAME,ADDITIONAL_INFO,MAIN,SIDE1,SIDE2,MID_BLOCK,PRIVATE_ACCESS,DISTRICT,WARD_1,WARD_2,WARD_3,WARD_4,POLICE_DIVISION_1,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,geometry,geo_coordinates
87,13452362.0,Albion Rd,Kipling Ave,87,87,87,ALBION RD,KIPLING AVE,6099,734,Albion Rd And Kipling Ave,,ALBION RD,KIPLING AVE,,,,Etobicoke York,Etobicoke North(1),,,,23,,,2017-07-10T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5804020028511, 43.7397240059444]]}","(-79.5804020028511, 43.7397240059444)"
88,13469800.0,The Queensway,Kipling Ave,88,88,88,THE QUEENSWAY,KIPLING AVE,6100,568,The Queensway And Kipling Ave,,THE QUEENSWAY,KIPLING AVE,,,,Etobicoke York,Etobicoke-Lakeshore(3),,,,22,,,2018-09-05T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5267410052857, 43.6209179956827]]}","(-79.5267410052857, 43.6209179956827)"
89,13444088.0,Finch Ave E,Gordon Baker Rd,89,89,89,FINCH AVE E,GORDON BAKER RD,6101,1181,Finch Ave E And Gordon Baker Rd / Finch E 404 N Ramp,,FINCH AVE E,GORDON BAKER RD,FINCH E 404 N RAMP,,,North York,Don Valley North(17),,,,33,,,2017-11-30T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3412610045643, 43.7951470000125]]}","(-79.3412610045643, 43.7951470000125)"
90,13463674.0,Jarvis St,Isabella St,90,90,90,JARVIS ST,ISABELLA ST,6102,12,Jarvis St And Isabella St,,JARVIS ST,ISABELLA ST,,,,Toronto and East York,Toronto Centre(13),,,,51,,,2017-03-13T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3794520049809, 43.6688930027192]]}","(-79.3794520049809, 43.6688930027192)"
91,13452352.0,Danforth Rd,Brimley Rd,91,91,91,DANFORTH RD,BRIMLEY RD,6103,378,Danforth Rd And Brimley Rd,,DANFORTH RD,BRIMLEY RD,,,,Scarborough,Scarborough Southwest(20),,,,41,43.0,,2017-03-10T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.2473840010046, 43.7351730038106]]}","(-79.2473840010046, 43.7351730038106)"
92,13442036.0,McCowan Rd,McNicoll Ave,92,92,92,MCCOWAN RD,MCNICOLL AVE,6105,1493,Mccowan Rd And Mcnicoll Ave,,MCCOWAN RD,MCNICOLL AVE,,,,Scarborough,Scarborough North(23),,,,42,,,2017-03-14T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.2719800057721, 43.8179410082595]]}","(-79.2719800057721, 43.8179410082595)"
93,13463362.0,St Clair Ave W,Gunns Rd,93,93,93,ST CLAIR AVE W,GUNNS RD,6106,1404,St Clair Ave W And Gunns Rd / Old Stock Yards Rd @ Home Depot Entrance,,ST CLAIR AVE W,GUNNS RD,OLD STOCK YARDS RD,,HOME DEPOT ENTRANCE,Etobicoke York,York South-Weston(5),,,,12,11.0,,2017-07-10T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4711240063789, 43.6717810093395]]}","(-79.4711240063789, 43.6717810093395)"
94,13467505.0,Spadina Ave,King St W,94,94,94,SPADINA AVE,KING ST W,6107,273,Spadina Ave And King St W,,SPADINA AVE,KING ST W,,,,Toronto and East York,Spadina-Fort York(10),,,,14,52.0,,2017-11-03T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3950459963437, 43.6454700030013]]}","(-79.3950459963437, 43.6454700030013)"
95,13444619.0,Sheppard Ave E,McCowan Rd,95,95,95,SHEPPARD AVE E,MCCOWAN RD,6108,938,Sheppard Ave E And Mccowan Rd,,SHEPPARD AVE E,MCCOWAN RD,,,,Scarborough,Scarborough North(23),,,,42,,,2017-03-10T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.2588380089157, 43.7896200075726]]}","(-79.2588380089157, 43.7896200075726)"
96,13466241.0,King St E,Parliament St,96,96,96,KING ST E,PARLIAMENT ST,6109,245,King St E And Parliament St,,KING ST E,PARLIAMENT ST,,,,Toronto and East York,Toronto Centre(13),,,,51,,,2017-03-10T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3632450108231, 43.6527289986933]]}","(-79.3632450108231, 43.6527289986933)"
97,13456327.0,Rexdale Blvd,Martin Grove Rd,97,97,97,REXDALE BLVD,MARTIN GROVE RD,6110,790,Rexdale Blvd And Martin Grove Rd,,REXDALE BLVD,MARTIN GROVE RD,,,,Etobicoke York,Etobicoke North(1),,,,23,,,2017-04-11T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.581117010177, 43.7138439993169]]}","(-79.581117010177, 43.7138439993169)"
98,13469998.0,The Queensway,The East Mall,98,98,98,THE QUEENSWAY,THE EAST MALL,6111,911,The Queensway And The East Mall,,THE QUEENSWAY,THE EAST MALL,,,,Etobicoke York,Etobicoke-Lakeshore(3),,,,22,,,2017-10-06T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5462869918465, 43.6164190042953]]}","(-79.5462869918465, 43.6164190042953)"
99,13460975.0,St Clair Ave W,Spadina Rd,99,99,99,ST CLAIR AVE W,SPADINA RD,6112,479,St Clair Ave W And Spadina Rd,,ST CLAIR AVE W,SPADINA RD,,,,Toronto and East York,Toronto-St. Paul's(12),,,,13,53.0,,2017-07-14T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4111690060153, 43.6846250039646]]}","(-79.4111690060153, 43.6846250039646)"
100,13447779.0,Dufferin St,Finch Ave W,100,100,100,DUFFERIN ST,FINCH AVE W,6113,618,Dufferin St And Finch Ave W,,DUFFERIN ST,FINCH AVE W,,,,North York,York Centre(6),,,,32,,,2017-06-05T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4669269987134, 43.7688520057869]]}","(-79.4669269987134, 43.7688520057869)"
101,13469914.0,Islington Ave,Evans Ave,101,101,101,ISLINGTON AVE,EVANS AVE,6114,775,Islington Ave And Evans Ave,,ISLINGTON AVE,EVANS AVE,,,,Etobicoke York,Etobicoke-Lakeshore(3),,,,22,,,2017-06-05T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5113280068698, 43.6183930020751]]}","(-79.5113280068698, 43.6183930020751)"
102,13463137.0,Eglinton Ave W,Martin Grove Rd,102,102,102,EGLINTON AVE W,MARTIN GROVE RD,6115,786,Eglinton Ave W And Martin Grove Rd,,EGLINTON AVE W,MARTIN GROVE RD,,,,Etobicoke York,Etobicoke North(1),Etobicoke Centre(2),,,23,22.0,,2017-07-10T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5631760034985, 43.6744770028432]]}","(-79.5631760034985, 43.6744770028432)"
103,13442866.0,Finch Ave E,Brimley Rd,103,103,103,FINCH AVE E,BRIMLEY RD,6116,1178,Finch Ave E And Brimley Rd,,FINCH AVE E,BRIMLEY RD,,,,Scarborough,Scarborough North(23),,,,42,,,2017-03-10T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.2773999905335, 43.8057060076328]]}","(-79.2773999905335, 43.8057060076328)"
